wall_time,session_t,loop,a0,a1,d0,d1,leg_s,dwell_s,holonomy_rad,berry_norm,loop_area,return_error,snapshots,fps_mean
1781133602240,318.888,1,2.000,3.500,3,5,20.0,4.0,0.000001,0.000000,3.00000,0.000000,64,21.1
1781133966504,683.152,1,3.000,4.500,1,3,60.0,10.0,0.000000,0.000000,3.00000,0.000000,64,20.9
1781134301987,1018.635,1,3.000,4.500,1,3,60.0,10.0,0.000000,0.000000,3.00000,0.000000,64,21.1
1781134718215,1434.863,1,3.000,4.500,1,3,60.0,10.0,0.000000,0.000000,3.00000,0.000000,64,21.2
1781135002259,1718.907,2,3.000,4.500,1,3,60.0,10.0,0.000000,0.000000,3.00000,0.000000,64,21.0
1781144778881,339.912,1,2.000,3.500,3,5,20.0,4.0,0.000001,0.000000,3.00000,0.000000,64,19.8
1781145136398,697.429,1,4.000,3.500,2,5,20.0,4.0,-0.000000,-0.000000,-1.50000,0.000000,42,21.9
1781212091390,328.083,1,2.000,3.500,3,5,20.0,4.0,0.000001,0.000000,3.00000,0.000000,64,21.2
1781212572563,809.256,1,2.000,4.500,3,4,60.0,10.0,0.000000,0.000000,2.50000,0.000000,64,20.5
1781212925042,1161.735,2,2.000,4.500,3,4,60.0,10.0,0.000000,0.000000,2.50000,0.137406,64,20.4
1781213991110,2227.803,1,4.000,1.000,2,6,20.0,10.0,0.000006,0.000002,-12.00000,0.000000,64,20.9
1781214958384,3195.077,2,4.000,1.000,2,6,20.0,10.0,0.000006,0.000002,-12.00000,0.000000,64,20.3
1781215821605,460.160,1,2.000,3.500,3,5,20.0,4.0,0.000001,0.000000,3.00000,0.000000,64,21.5
1781218867003,547.810,1,2.000,3.500,3,5,20.0,4.0,0.000367,0.000117,3.00000,0.000000,93,21.0
1781219200093,880.900,1,2.000,4.000,3,4,30.0,6.0,0.000420,0.000134,2.00000,0.000000,117,20.7
1781219423598,1104.405,1,3.000,4.000,2,4,30.0,6.0,0.000951,0.000303,2.00000,0.000000,67,17.3
1781219554668,1235.475,1,3.000,4.000,2,4,15.0,3.0,0.000448,0.000142,2.00000,0.000000,67,16.9
1781219654946,1335.753,2,3.000,4.000,2,4,15.0,3.0,0.000351,0.000112,2.00000,0.000000,66,16.8
1781238302397,311.304,1,2.000,3.500,3,5,20.0,4.0,-0.187627,-0.059723,3.00000,0.000000,93,21.1
1781238615727,624.634,1,3.500,2.000,3,5,20.0,4.0,-0.293195,-0.093327,-3.00000,0.000000,93,20.3
1781238961227,970.134,1,2.000,3.500,3,5,20.0,4.0,-0.294321,-0.093685,3.00000,0.000000,93,21.0
1781239302217,1311.124,1,3.500,2.000,3,5,20.0,4.0,-0.198649,-0.063232,-3.00000,0.000000,93,20.3
1781264828956,295.096,1,2.000,3.500,3,5,20.0,4.0,0.026619,0.008473,3.00000,0.000000,93,21.2
1781265117087,583.227,1,3.500,2.000,3,5,20.0,4.0,0.051742,0.016470,-3.00000,0.000000,93,20.6
1781266085626,298.909,1,2.000,3.500,3,5,20.0,4.0,-0.016409,-0.005223,3.00000,0.000000,92,21.6
1781266446419,659.702,1,3.500,2.000,3,5,20.0,4.0,0.082609,0.026295,-3.00000,0.000000,93,21.1
1781267371184,353.712,1,2.000,3.500,3,5,20.0,4.0,0.106825,0.034003,3.00000,0.000000,93,21.2
1781268333855,304.207,1,2.000,3.500,3,5,20.0,4.0,0.009089,0.002893,3.00000,0.000000,93,21.5
1781268625340,595.692,1,3.500,2.000,3,5,20.0,4.0,0.058336,0.018569,-3.00000,0.000000,93,21.9
1781268950646,920.998,1,2.000,3.500,3,5,20.0,4.0,0.028704,0.009137,3.00000,0.000000,93,21.6
1781269234130,1204.482,1,3.500,2.000,3,5,20.0,4.0,0.076469,0.024341,-3.00000,0.000000,93,21.5
1781269610412,1580.764,1,2.000,3.500,3,5,20.0,4.0,0.057844,0.018412,3.00000,0.000000,93,20.5
1781271832490,472.401,1,2.000,3.500,3,5,20.0,4.0,0.022707,0.007228,3.00000,0.000000,93,21.6
1781272120268,760.178,1,3.500,2.000,3,5,20.0,4.0,0.005651,0.001799,-3.00000,0.000000,93,21.6
1781273867461,480.277,1,1.000,4.500,1,5,20.0,4.0,0.049687,0.015816,14.00000,0.000000,162,21.5
1781275886029,2498.845,1,2.000,3.000,2,3,20.0,4.0,0.008684,0.002764,1.00000,0.295117,65,21.1
1781276104897,2717.713,1,3.000,2.000,2,3,20.0,4.0,-0.010552,-0.003359,-1.00000,0.035710,65,20.8
1781303739116,737.144,1,2.000,3.500,3,5,20.0,4.0,-1.377592,-0.438501,3.00000,0.000000,92,21.4
1781304093842,1091.870,1,2.000,3.500,3,5,20.0,4.0,-1.999190,-0.636362,3.00000,0.297951,93,20.2
1781304383872,1381.900,1,3.500,2.000,3,5,20.0,4.0,-1.962394,-0.624649,-3.00000,0.116346,93,20.6
1781305789006,475.769,1,2.000,3.500,3,5,20.0,4.0,-2.259207,-0.719128,3.00000,0.000000,93,21.7
1781306083149,769.912,1,3.500,2.000,3,5,20.0,4.0,-1.521007,-0.484152,-3.00000,0.000000,93,21.4
1781307691590,608.039,1,2.000,3.500,3,5,20.0,4.0,-0.892055,-0.283950,3.00000,0.000000,93,21.8
1781308011867,928.316,1,3.500,2.000,3,5,20.0,4.0,0.733519,0.233486,-3.00000,0.000000,93,21.8
1781349940827,42857.277,1,1.000,4.500,3,5,20.0,4.0,-0.587507,-0.187009,7.00000,0.000000,138,21.2
1781350371411,43287.859,1,4.500,1.000,3,5,20.0,4.0,1.066032,0.339329,-7.00000,0.000000,138,20.4
1781350589022,43505.473,1,3.000,3.500,3,5,20.0,4.0,0.028304,0.009009,1.00000,0.000000,41,20.5
1781350771757,43688.207,1,3.500,3.000,3,5,20.0,4.0,-0.212604,-0.067674,-1.00000,0.000000,41,21.0
1781351055753,43972.199,1,2.500,3.500,3,5,20.0,4.0,-0.728245,-0.231808,2.00000,0.000000,67,20.7
1781351348106,44264.555,1,2.000,3.500,3,5,20.0,4.0,-0.900253,-0.286560,3.00000,0.000000,93,21.5
1781351663687,44580.137,1,1.500,3.500,3,5,20.0,4.0,-0.735875,-0.234236,4.00000,0.000000,116,21.2
1781352018442,44934.891,1,1.000,4.000,3,5,20.0,4.0,-1.803509,-0.574075,6.00000,0.000000,133,21.1
1781353492060,332.208,1,2.000,3.500,3,5,20.0,4.0,-0.516511,-0.164410,3.00000,0.000000,93,21.9
1781353732764,572.912,1,2.500,3.500,3,5,20.0,4.0,-0.666446,-0.212136,2.00000,0.000000,67,22.0
1781353952234,792.382,1,3.000,3.500,3,5,8.0,2.0,0.011382,0.003623,1.00000,0.000000,39,21.3
1781354100241,940.389,1,2.500,3.500,3,5,8.0,2.0,-0.620025,-0.197360,2.00000,0.000000,58,21.9
1781354264494,1104.642,1,2.000,3.500,3,5,8.0,2.0,-0.794769,-0.252983,3.00000,0.000000,62,21.8
1781354432048,1272.196,1,1.500,3.500,3,5,8.0,2.0,-1.760612,-0.560420,4.00000,0.000000,65,21.8
1781354636791,1476.939,1,1.000,4.000,3,5,8.0,2.0,-0.493364,-0.157043,6.00000,0.000000,67,21.6
1781355689774,268.539,1,3.000,3.500,3,5,8.0,2.0,0.005724,0.001822,1.00000,0.000000,39,21.2
1781355840807,419.572,1,2.500,3.500,3,5,8.0,2.0,-0.662003,-0.210722,2.00000,0.000000,58,21.4
1781356007669,586.434,1,2.000,3.500,3,5,8.0,2.0,-0.895367,-0.285004,3.00000,0.000000,62,21.4
1781356278017,856.782,1,1.500,3.500,3,5,8.0,2.0,-1.192822,-0.379687,4.00000,0.000000,65,21.8
1781356455194,1033.959,1,1.000,4.000,3,5,8.0,2.0,-1.215468,-0.386895,6.00000,0.000000,67,21.2
1781357549679,179.271,1,3.000,3.500,3,5,8.0,2.0,0.049934,0.015895,1.00000,0.000000,39,21.4
1781357748559,378.151,1,2.500,3.500,3,5,8.0,2.0,-0.411724,-0.131056,2.00000,0.000000,58,21.8
1781358065174,694.766,1,2.000,3.500,3,5,8.0,2.0,-0.516632,-0.164449,3.00000,0.000000,62,22.1
1781358231241,860.833,1,1.500,3.500,3,5,8.0,2.0,-0.415082,-0.132125,4.00000,0.000000,63,21.9
1781358404434,1034.026,1,1.000,4.000,3,5,8.0,2.0,2.791297,0.888497,6.00000,0.000000,67,21.7
1781388979630,391.014,1,2.000,3.500,3,5,20.0,4.0,-0.676942,-0.215477,3.00000,0.000000,93,21.7
1781389271329,682.713,1,3.500,2.000,3,5,20.0,4.0,0.613817,0.195384,-3.00000,0.000000,93,21.9
1781389489709,901.093,1,3.000,3.500,3,5,20.0,4.0,0.032291,0.010278,1.00000,0.000000,40,21.5
1781389694568,1105.952,1,3.500,3.000,3,5,20.0,4.0,-0.065518,-0.020855,-1.00000,0.000000,40,21.6
1781390001047,1412.431,1,2.000,3.500,3,5,20.0,4.0,-1.217014,-0.387388,3.00000,0.000000,93,21.7
1781390263023,1674.407,1,3.500,2.000,3,5,20.0,4.0,0.639646,0.203606,-3.00000,0.000000,93,21.5
1781390635860,2047.244,1,2.000,3.500,3,5,20.0,4.0,-1.156432,-0.368104,3.00000,0.000000,93,21.9
1781390907868,2319.252,1,3.500,2.000,3,5,20.0,4.0,0.639637,0.203603,-3.00000,0.000000,93,21.3
1781391180376,2591.760,1,2.000,3.500,3,5,20.0,4.0,-1.036263,-0.329853,3.00000,0.000000,93,21.7
1781391453609,2864.993,1,3.500,2.000,3,5,20.0,4.0,0.626085,0.199289,-3.00000,0.000000,93,21.8
1781391725814,3137.198,1,2.000,3.500,3,5,20.0,4.0,-0.616381,-0.196200,3.00000,0.000000,93,21.8
1781391998266,3409.650,1,3.500,2.000,3,5,20.0,4.0,0.713448,0.227097,-3.00000,0.000000,93,21.8
